Year,Blue king crab - Pribilof Islands,Blue king crab - Saint Matthew Island,Golden king crab - Aleutian Islands,Golden king crab - Eastern Aleutian Islands,Golden king crab - Pribilof Islands,Golden king crab - Western Aleutian Islands,Red king crab - Bristol Bay,Red king crab - Norton Sound,Red king crab - Pribilof Islands,Red king crab - Western Aleutian Islands,Snow crab - Bering Sea,Southern Tanner crab - Bering Sea,,,,,,,,
2000,0,0,3539,2178,58,2606,3737.899902,136.0777164,2,35,12489.99977,1128,,,,,,,,
2001,0,0,3310,2273,66,2760,3866.199951,127.0058641,0,70,17000,1796,,,,,,,,
2002,0,0,3010,2155,68,2238,4384.5,113.3980925,0,229,14479.99954,962,,,,,,,,
2003,0,0,3041,1900,,1916,7135.299805,117.9340119,2,217,11890.00034,552,,,,,,,,
2004,0,0,2922,1867,,1902,7006.700195,154.2214074,5,0,12430.00031,900,,,,,,,,
2005,0,0,2735,1886,,1695,8399.700195,181.4369507,7,0,18329.99992,2549,,,,,,,,
2006,0,0,2638,1796,0,1742,7143.200195,204.1165611,18,0,18690.00053,4195,,,,,,,,
2007,0,0,2833,1551,0,1647,9303.900391,140.6136358,2,0,31309.99947,5176,,,,,,,,
2008,0,0,2860,1614,0,1820,9216.099609,176.9010178,9,0,28809.99947,3246,,,,,,,,
2009,0,0,2951,1733,0,1824,7272.5,181.4369507,2,0,23489.99977,2802,,,,,,,,
2010,0,209.0419555,2975,1690,,1770,6761.5,190.5087895,9,0,25379.99916,1725,,,,,,,,
2011,0,573.3321233,2951,1605,,1757,3607.100098,181.4369507,6,0,42310.00137,2375,,,,,,,,
2012,0,853.3526086,3115,1517,,1781,3621.699951,213.1884134,17,0,32619.99893,1770,,,,,,,,
2013,0,733.029166,3192,1839,,1947,3991,158.7573268,3,0,27940.00053,5034,,,,,,,,
2014,0,0,3079,1919,,1852,4538.600098,176.9010178,1,0,34639.99939,14525,,,,,,,,
2015,0,139.9703265,,1592,0,1967,4613.700195,181.4369507,4,0,21579.99992,16795,,,,,,,,
2016,0,47.63169592,,1565,0,2136,3923.899902,190.5087895,1,0,11060.00042,3079,,,,,,,,
2017,0,0,,1570,,2234,3093.699951,185.9728701,1,0,10590.00015,2837,,,,,,,,
2018,0,0,,1437,,2339,2026.5,136.0777164,7,,15619.99989,2774,,,,,,,,
2019,0,0,,1637,,2735,1775.300049,,5,,20760.00023,1184,,,,,,,,
2020,0,0,,1714,,3033,1257,,7,,26280.00069,1843,,,,,,,,
2021,0,0,,1844,,2608,17.39999962,,1,,3700.000048,1091,,,,,,,,
2022,0,0,,1612,,2427,23.1,,0,,50,1610,,,,,,,,
2023,0,0,,1068,,,972.6,,0,,70,1261,,,,,,,,
2024,0,0,,,,,1084.5,,0,,,3361,,,,,,,,
2025,0,0,,,,,,,,,,,,,,,,,,
