Year,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn
1966,"CRAB, KING **","159,201,700",72213.00,15670485.00,Public,Commercial,Paralithodes,97934
1966,"CRAB, SNOW/TANNER **",200,0.00,11.00,Public,Commercial,Chionoecetes,98427
1967,"CRAB, KING **","127,715,900",57932.00,14969768.00,Public,Commercial,Paralithodes,97934
1967,"CRAB, SNOW/TANNER **","118,400",54.00,11839.00,Public,Commercial,Chionoecetes,98427
1968,"CRAB, KING **","82,035,500",37211.00,21878135.00,Public,Commercial,Paralithodes,97934
1968,"CRAB, SNOW","3,246,800",1473.00,323590.00,Public,Commercial,Chionoecetes opilio,98428
1969,"CRAB, KING **","57,729,800",26186.00,15643768.00,Public,Commercial,Paralithodes,97934
1969,"CRAB, SNOW/TANNER **","11,206,700",5083.00,1133047.00,Public,Commercial,Chionoecetes,98427
1970,"CRAB, KING **","52,061,000",23615.00,13189672.00,Public,Commercial,Paralithodes,97934
1970,"CRAB, SNOW/TANNER **","14,473,300",6565.00,1417267.00,Public,Commercial,Chionoecetes,98427
1971,"CRAB, KING **","70,703,100",32071.00,19077253.00,Public,Commercial,Paralithodes,97934
1971,"CRAB, SNOW/TANNER **","12,880,100",5842.00,1368544.00,Public,Commercial,Chionoecetes,98427
1972,"CRAB, KING **","94,244,700",42749.00,31839526.00,Public,Commercial,Paralithodes,97934
1972,"CRAB, SNOW/TANNER **","46,009,900",20870.00,5637271.00,Public,Commercial,Chionoecetes,98427
1973,"CRAB, KING **","76,824,100",34847.00,47702211.00,Public,Commercial,Paralithodes,97934
1973,"CRAB, SNOW/TANNER **","61,719,400",27996.00,10755893.00,Public,Commercial,Chionoecetes,98427
1974,"CRAB, KING **","95,213,800",43189.00,39153941.00,Public,Commercial,Paralithodes,97934
1974,"CRAB, SNOW/TANNER **","63,906,100",28988.00,13052369.00,Public,Commercial,Chionoecetes,98427
1975,"CRAB, KING **","97,626,600",44283.00,38251448.00,Public,Commercial,Paralithodes,97934
1975,"CRAB, SNOW/TANNER **","46,855,700",21254.00,7019464.00,Public,Commercial,Chionoecetes,98427
1976,"CRAB, KING **","105,899,200",48036.00,68688972.00,Public,Commercial,Paralithodes,97934
1976,"CRAB, SNOW/TANNER **","80,771,000",36637.00,16166215.00,Public,Commercial,Chionoecetes,98427
1977,"CRAB, KING **","98,398,600",44633.00,102028717.00,Public,Commercial,Paralithodes,97934
1977,"CRAB, SNOW/TANNER **","98,463,600",44663.00,35466112.00,Public,Commercial,Chionoecetes,98427
1978,"CRAB, KING **","121,281,370",55013.00,155873143.00,Public,Commercial,Paralithodes,97934
1978,"CRAB, SNOW/TANNER **","129,413,338",58702.00,56642206.00,Public,Commercial,Chionoecetes,98427
1979,"CRAB, KING **","149,658,089",67884.00,148853181.00,Public,Commercial,Paralithodes,97934
1979,"CRAB, SNOW/TANNER **","130,526,470",59206.00,71883445.00,Public,Commercial,Chionoecetes,98427
1980,"CRAB, KING **","185,325,374",84063.00,174339680.00,Public,Commercial,Paralithodes,97934
1980,"CRAB, SNOW/TANNER **","121,688,971",55198.00,62612350.00,Public,Commercial,Chionoecetes,98427
1981,"CRAB, KING **","88,572,013",40176.00,123058872.00,Public,Commercial,Paralithodes,97934
1981,"CRAB, SNOW","41,859,644",18987.00,11050946.00,Public,Commercial,Chionoecetes opilio,98428
1981,"CRAB, SOUTHERN TANNER","35,200,737",15967.00,21857190.00,Public,Commercial,Chionoecetes bairdi,98429
1982,"CRAB, KING **","39,702,384",18009.00,106488520.00,Public,Commercial,Paralithodes,97934
1982,"CRAB, SNOW","28,328,870",12850.00,17067382.00,Public,Commercial,Chionoecetes opilio,98428
1982,"CRAB, SOUTHERN TANNER","20,821,210",9444.00,30181012.00,Public,Commercial,Chionoecetes bairdi,98429
1983,"CRAB, KING **","26,848,652",12178.00,74909840.00,Public,Commercial,Paralithodes,97934
1983,"CRAB, SNOW","24,810,124",11254.00,9217997.00,Public,Commercial,Chionoecetes opilio,98428
1983,"CRAB, SOUTHERN TANNER","11,176,863",5070.00,13803894.00,Public,Commercial,Chionoecetes bairdi,98429
1984,"CRAB, KING **","18,602,572",8438.00,43637534.00,Public,Commercial,Paralithodes,97934
1984,"CRAB, SNOW","26,014,330",11800.00,7804299.00,Public,Commercial,Chionoecetes opilio,98428
1984,"CRAB, SOUTHERN TANNER","6,700,104",3039.00,7919298.00,Public,Commercial,Chionoecetes bairdi,98429
1985,"CRAB, KING **","16,093,202",7300.00,33588770.00,Public,Commercial,Paralithodes,97934
1985,"CRAB, SNOW","64,952,252",29462.00,22089480.00,Public,Commercial,Chionoecetes opilio,98428
1985,"CRAB, SOUTHERN TANNER","9,982,722",4528.00,14293930.00,Public,Commercial,Chionoecetes bairdi,98429
1986,"CRAB, KING **","27,798,948",12610.00,92312548.00,Public,Commercial,Paralithodes,97934
1986,"CRAB, SNOW","96,582,736",43810.00,52830757.00,Public,Commercial,Chionoecetes opilio,98428
1986,"CRAB, SOUTHERN TANNER","14,875,772",6748.00,26489219.00,Public,Commercial,Chionoecetes bairdi,98429
1987,"CRAB, KING **","30,439,880",13807.00,99009063.00,Public,Commercial,Paralithodes,97934
1987,"CRAB, SNOW","100,924,939",45779.00,74886305.00,Public,Commercial,Chionoecetes opilio,98428
1987,"CRAB, SOUTHERN TANNER","11,883,781",5390.00,27031713.00,Public,Commercial,Chionoecetes bairdi,98429
1988,"CRAB, KING **","20,988,031",9520.00,84478800.00,Public,Commercial,Paralithodes,97934
1988,"CRAB, SNOW","130,817,707",59339.00,109232789.00,Public,Commercial,Chionoecetes opilio,98428
1988,"CRAB, SOUTHERN TANNER","13,539,220",6141.00,30986522.00,Public,Commercial,Chionoecetes bairdi,98429
1989,"CRAB, KING **","24,464,842",11097.00,97806829.00,Public,Commercial,Paralithodes,97934
1989,"CRAB, SNOW","147,645,204",66971.00,117968365.00,Public,Commercial,Chionoecetes opilio,98428
1989,"CRAB, SOUTHERN TANNER","15,623,511",7087.00,45281173.00,Public,Commercial,Chionoecetes bairdi,98429
1990,"CRAB, KING **","34,109,272",15472.00,148205877.00,Public,Commercial,Paralithodes,97934
1990,"CRAB, SNOW","160,024,686",72587.00,100015433.00,Public,Commercial,Chionoecetes opilio,98428
1990,"CRAB, SOUTHERN TANNER","54,831,176",24871.00,91832613.00,Public,Commercial,Chionoecetes bairdi,98429
1991,"CRAB, KING **","27,983,835",12693.00,86597555.00,Public,Commercial,Paralithodes,97934
1991,"CRAB, SNOW","325,183,233",147502.00,164468126.00,Public,Commercial,Chionoecetes opilio,98428
1991,"CRAB, SOUTHERN TANNER","43,003,857",19506.00,63600888.00,Public,Commercial,Chionoecetes bairdi,98429
1992,"CRAB, KING **","19,251,865",8733.00,71577009.00,Public,Commercial,Paralithodes,97934
1992,"CRAB, SNOW","312,976,182",141965.00,160164650.00,Public,Commercial,Chionoecetes opilio,98428
1992,"CRAB, SOUTHERN TANNER","41,637,338",18887.00,70251490.00,Public,Commercial,Chionoecetes bairdi,98429
1993,"CRAB, KING **","26,963,626",12231.00,91660530.00,Public,Commercial,Paralithodes,97934
1993,"CRAB, SNOW","229,213,048",103970.00,173055858.00,Public,Commercial,Chionoecetes opilio,98428
1993,"CRAB, SOUTHERN TANNER","27,171,928",12325.00,48793053.00,Public,Commercial,Chionoecetes bairdi,98429
1994,"CRAB, KING **","12,966,229",5881.00,57141985.00,Public,Commercial,Paralithodes,97934
1994,"CRAB, SNOW","147,992,955",67129.00,199346511.00,Public,Commercial,Chionoecetes opilio,98428
1994,"CRAB, SOUTHERN TANNER","11,571,519",5249.00,44937835.00,Public,Commercial,Chionoecetes bairdi,98429
1995,"CRAB, KING **","14,287,223",6481.00,41305911.00,Public,Commercial,Paralithodes,97934
1995,"CRAB, SNOW","74,005,359",33569.00,174488599.00,Public,Commercial,Chionoecetes opilio,98428
