"Year","cons","crab_sp","codvar"
1985,37244.199123104,"bairdi","pcod60"
1986,31602.3383149151,"bairdi","pcod60"
1987,61651.2447577342,"bairdi","pcod60"
1988,43854.3618671432,"bairdi","pcod60"
1989,20159.9164430058,"bairdi","pcod60"
1990,9224.83229658235,"bairdi","pcod60"
1991,7973.89156841856,"bairdi","pcod60"
1992,7201.41157310455,"bairdi","pcod60"
1993,40397.6018399281,"bairdi","pcod60"
1994,24485.8903340737,"bairdi","pcod60"
1995,17168.6026815921,"bairdi","pcod60"
1996,11208.7664586611,"bairdi","pcod60"
1997,13383.9120104369,"bairdi","pcod60"
1998,16342.0162212117,"bairdi","pcod60"
1999,24883.6549157564,"bairdi","pcod60"
2000,12601.4780705056,"bairdi","pcod60"
2001,42793.3348117668,"bairdi","pcod60"
2002,12066.9917970353,"bairdi","pcod60"
2003,13847.3481281967,"bairdi","pcod60"
2004,NA,"bairdi","pcod60"
2005,12548.2752470817,"bairdi","pcod60"
2006,8811.40788706739,"bairdi","pcod60"
2007,7503.74012469516,"bairdi","pcod60"
2008,6332.64123887098,"bairdi","pcod60"
2009,28211.7920040016,"bairdi","pcod60"
2010,63794.4147288872,"bairdi","pcod60"
2011,60592.5155630381,"bairdi","pcod60"
2012,16845.0777792544,"bairdi","pcod60"
2013,22947.9238697698,"bairdi","pcod60"
2014,33303.7947283197,"bairdi","pcod60"
2015,13022.33363666,"bairdi","pcod60"
2016,19764.7211046835,"bairdi","pcod60"
2017,29847.5060260334,"bairdi","pcod60"
2018,17315.4290410835,"bairdi","pcod60"
2019,11965.3448606322,"bairdi","pcod60"
2020,NA,"bairdi","pcod60"
2021,10472.7239825211,"bairdi","pcod60"
2022,18131.3036422288,"bairdi","pcod60"
2023,22354.6012215838,"bairdi","pcod60"
2024,12822.5503908289,"bairdi","pcod60"
1985,36714.2731818438,"bairdi","pcod60p"
1986,19946.855080609,"bairdi","pcod60p"
1987,53088.8135255904,"bairdi","pcod60p"
1988,41906.7961200337,"bairdi","pcod60p"
1989,36410.0449645716,"bairdi","pcod60p"
1990,12896.1037991394,"bairdi","pcod60p"
1991,6504.73176462837,"bairdi","pcod60p"
1992,3662.08905597408,"bairdi","pcod60p"
1993,18598.5974431297,"bairdi","pcod60p"
1994,17953.2067713305,"bairdi","pcod60p"
1995,12867.9411161618,"bairdi","pcod60p"
1996,8852.84846944539,"bairdi","pcod60p"
1997,13127.3132797689,"bairdi","pcod60p"
1998,14638.6984639943,"bairdi","pcod60p"
1999,14412.9757345435,"bairdi","pcod60p"
2000,6356.79178610432,"bairdi","pcod60p"
2001,20772.4422233429,"bairdi","pcod60p"
2002,5890.66133094921,"bairdi","pcod60p"
2003,8174.86534443469,"bairdi","pcod60p"
2004,NA,"bairdi","pcod60p"
2005,15904.5437552438,"bairdi","pcod60p"
2006,7590.68255232625,"bairdi","pcod60p"
2007,7007.90934928637,"bairdi","pcod60p"
2008,4698.96673770942,"bairdi","pcod60p"
2009,8582.30011423322,"bairdi","pcod60p"
2010,22681.1407468379,"bairdi","pcod60p"
2011,25069.4195243121,"bairdi","pcod60p"
2012,9532.44075495507,"bairdi","pcod60p"
2013,18769.3437938331,"bairdi","pcod60p"
2014,23538.4390929399,"bairdi","pcod60p"
2015,11271.7089940133,"bairdi","pcod60p"
2016,16360.4093660651,"bairdi","pcod60p"
2017,33273.8891316393,"bairdi","pcod60p"
2018,21682.0809202723,"bairdi","pcod60p"
2019,17897.7708792539,"bairdi","pcod60p"
2020,NA,"bairdi","pcod60p"
2021,6186.69615112376,"bairdi","pcod60p"
2022,16395.5078458226,"bairdi","pcod60p"
2023,18573.6687180995,"bairdi","pcod60p"
2024,10569.4365693696,"bairdi","pcod60p"
